"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Moved; within same county!!Estimate","United States!!Moved; within same county!!Margin of Error","United States!!Moved; from different county, same state!!Estimate","United States!!Moved; from different county, same state!!Margin of Error","United States!!Moved; from different  state!!Estimate","United States!!Moved; from different  state!!Margin of Error","United States!!Moved; from abroad!!Estimate","United States!!Moved; from abroad!!Margin of Error","California!!Total!!Estimate","California!!Total!!Margin of Error","California!!Moved; within same county!!Estimate","California!!Moved; within same county!!Margin of Error","California!!Moved; from different county, same state!!Estimate","California!!Moved; from different county, same state!!Margin of Error","California!!Moved; from different  state!!Estimate","California!!Moved; from different  state!!Margin of Error","California!!Moved; from abroad!!Estimate","California!!Moved; from abroad!!Margin of Error"
"Population 1 year and over","336,636,468","±32,733","5.9%","±0.1","3.0%","±0.1","2.1%","±0.1","0.8%","±0.1","39,039,388","±10,487","6.2%","±0.2","2.4%","±0.1","1.0%","±0.1","0.8%","±0.1"
"    AGE","","","","","","","","","","","","","","","","","","","",""
"        1 to 4 years","14,890,525","±36,411","7.7%","±0.2","3.2%","±0.1","2.3%","±0.1","0.9%","±0.1","1,691,279","±10,500","7.9%","±0.5","2.5%","±0.3","1.1%","±0.2","0.8%","±0.1"
"        5 to 17 years","54,564,265","±31,737","5.4%","±0.1","2.0%","±0.1","1.4%","±0.1","0.7%","±0.1","6,328,184","±3,894","5.4%","±0.3","1.5%","±0.1","0.6%","±0.1","0.7%","±0.1"
"        18 to 24 years","31,270,959","±48,363","11.0%","±0.1","7.8%","±0.1","5.2%","±0.1","1.4%","±0.1","3,644,130","±5,026","9.3%","±0.4","5.7%","±0.3","2.6%","±0.2","1.5%","±0.2"
"        25 to 34 years","46,198,405","±43,885","10.4%","±0.1","5.2%","±0.1","3.8%","±0.1","1.3%","±0.1","5,708,737","±7,469","11.3%","±0.4","4.3%","±0.2","2.1%","±0.1","1.3%","±0.1"
"        35 to 44 years","45,956,885","±36,741","6.1%","±0.1","2.8%","±0.1","2.0%","±0.1","0.8%","±0.1","5,601,979","±6,522","7.0%","±0.3","2.3%","±0.2","1.0%","±0.1","0.8%","±0.1"
"        45 to 54 years","40,822,885","±34,958","4.1%","±0.1","2.0%","±0.1","1.3%","±0.1","0.5%","±0.1","4,861,460","±6,297","4.3%","±0.2","1.5%","±0.1","0.6%","±0.1","0.5%","±0.1"
"        55 to 64 years","41,687,261","±18,991","3.3%","±0.1","1.6%","±0.1","1.3%","±0.1","0.4%","±0.1","4,678,758","±3,708","3.4%","±0.2","1.3%","±0.1","0.5%","±0.1","0.4%","±0.1"
"        65 to 74 years","35,585,091","±21,264","2.6%","±0.1","1.2%","±0.1","1.1%","±0.1","0.3%","±0.1","3,752,042","±3,712","2.9%","±0.1","1.1%","±0.1","0.5%","±0.1","0.5%","±0.1"
"        75 years and over","25,660,192","±16,745","3.3%","±0.1","1.3%","±0.1","1.0%","±0.1","0.3%","±0.1","2,772,819","±3,495","3.2%","±0.2","1.1%","±0.1","0.5%","±0.1","0.5%","±0.1"
"        Median age (years)","39.6","±0.1","29.6","±0.2","28.4","±0.1","29.1","±0.2","29.6","±0.3","38.7","±0.1","30.8","±0.3","29.6","±0.4","29.0","±0.5","30.3","±0.6"
"    SEX","","","","","","","","","","","","","","","","","","","",""
"        Male","166,511,600","±39,776","5.9%","±0.1","3.1%","±0.1","2.2%","±0.1","0.8%","±0.1","19,476,068","±10,946","6.2%","±0.2","2.5%","±0.1","1.1%","±0.1","0.8%","±0.1"
"        Female","170,124,868","±38,850","5.9%","±0.1","2.9%","±0.1","2.1%","±0.1","0.7%","±0.1","19,563,320","±9,860","6.1%","±0.2","2.3%","±0.1","1.0%","±0.1","0.8%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"        One race","292,437,501","±198,743","5.8%","±0.1","3.0%","±0.1","2.1%","±0.1","0.7%","±0.1","31,341,307","±84,825","6.2%","±0.2","2.5%","±0.1","1.1%","±0.1","0.8%","±0.1"
"            White","201,552,747","±123,307","5.3%","±0.1","2.9%","±0.1","2.2%","±0.1","0.3%","±0.1","14,883,937","±46,388","6.1%","±0.2","2.5%","±0.1","1.4%","±0.1","0.5%","±0.1"
"            Black or African American","40,696,630","±104,234","7.6%","±0.1","3.6%","±0.1","2.1%","±0.1","0.8%","±0.1","2,095,787","±20,385","8.1%","±0.6","2.9%","±0.3","1.6%","±0.3","0.4%","±0.1"
"            American Indian and Alaska Native","3,400,029","±53,571","6.7%","±0.4","3.1%","±0.2","1.8%","±0.2","0.8%","±0.2","556,110","±26,717","6.4%","±0.9","2.0%","±0.4","0.5%","±0.2","0.6%","±0.2"
"            Asian","21,166,564","±46,247","5.9%","±0.2","2.8%","±0.1","2.5%","±0.1","2.5%","±0.1","6,302,740","±22,177","5.8%","±0.3","2.6%","±0.2","1.1%","±0.1","1.7%","±0.1"
